Food,Measure,Grams,Calories,Cal_100G,Protein,Pro_100G,Fat,Sat.Fat,Fat_100G,Fiber,Carbohydrate,CHO_100G,Category
Cows' milk,1 qt.,976.00,660.00,67.62,32.00,3.28,40.00,36.00,4.10,0.00,48.00,4.92,Dairy products
Milk skim,1 qt.,984.00,360.00,36.59,36.00,3.66,0.00,0.00,0.00,0.00,52.00,5.28,Dairy products
Buttermilk,1 cup,246.00,127.00,51.63,9.00,3.66,5.00,4.00,2.03,0.00,13.00,5.28,Dairy products
"Evaporated, undiluted",1 cup,252.00,345.00,136.90,16.00,6.35,20.00,18.00,7.94,0.00,24.00,9.52,Dairy products
Fortified milk,6 cups,1419.00,1373.00,96.76,89.00,6.27,42.00,23.00,2.96,1.40,119.00,8.39,Dairy products
Powdered milk,1 cup,103.00,515.00,500.00,27.00,26.21,28.00,24.00,27.18,0.00,39.00,37.86,Dairy products
"skim, instant",1 1/3 cups,85.00,290.00,341.18,30.00,35.29,0.00,0.00,0.00,0.00,42.00,49.41,Dairy products
"skim, non-instant",2/3 cup,85.00,290.00,341.18,30.00,35.29,0.00,0.00,0.00,1.00,42.00,49.41,Dairy products
Goats' milk,1 cup,244.00,165.00,67.62,8.00,3.28,10.00,8.00,4.10,0.00,11.00,4.51,Dairy products
(1/2 cup ice cream),2 cups,540.00,690.00,127.78,24.00,4.44,24.00,22.00,4.44,0.00,70.00,12.96,Dairy products
Cocoa,1 cup,252.00,235.00,93.25,8.00,3.17,11.00,10.00,4.37,0.00,26.00,10.32,Dairy products
skim. milk,1 cup,250.00,128.00,51.20,18.00,7.20,4.00,3.00,1.60,1.00,13.00,5.20,Dairy products
(cornstarch),1 cup,248.00,275.00,110.89,9.00,3.63,10.00,9.00,4.03,0.00,40.00,16.13,Dairy products
Custard,1 cup,248.00,285.00,114.92,13.00,5.24,14.00,11.00,5.65,0.00,28.00,11.29,Dairy products
Ice cream,1 cup,188.00,300.00,159.57,6.00,3.19,18.00,16.00,9.57,0.00,29.00,15.43,Dairy products
Ice milk,1 cup,190.00,275.00,144.74,9.00,4.74,10.00,9.00,5.26,0.00,32.00,16.84,Dairy products
Cream or half-and-half,1/2 cup,120.00,170.00,141.67,4.00,3.33,15.00,13.00,12.50,0.00,5.00,4.17,Dairy products
or whipping,1/2 cup,119.00,430.00,361.34,2.00,1.68,44.00,27.00,36.97,1.00,3.00,2.52,Dairy products
Cheese,1 cup,225.00,240.00,106.67,30.00,13.33,11.00,10.00,4.89,0.00,6.00,2.67,Dairy products
uncreamed,1 cup,225.00,195.00,86.67,38.00,16.89,0.00,0.00,0.00,0.00,6.00,2.67,Dairy products
Cheddar,1-in. cube,17.00,70.00,411.76,4.00,23.53,6.00,5.00,35.29,0.00,0.00,0.00,Dairy products
"Cheddar, grated cup",1/2 cup,56.00,226.00,403.57,14.00,25.00,19.00,17.00,33.93,0.00,1.00,1.79,Dairy products
Cream cheese,1 oz.,28.00,105.00,375.00,2.00,7.14,11.00,10.00,39.29,0.00,1.00,3.57,Dairy products
Processed cheese,1 oz.,28.00,105.00,375.00,7.00,25.00,9.00,8.00,32.14,0.00,0.00,0.00,Dairy products
Roquefort type,1 oz.,28.00,105.00,375.00,6.00,21.43,9.00,8.00,32.14,0.00,0.00,0.00,Dairy products
Swiss,1 oz.,28.00,105.00,375.00,7.00,25.00,8.00,7.00,28.57,0.00,0.00,0.00,Dairy products
Eggs raw,2,100.00,150.00,150.00,12.00,12.00,12.00,10.00,12.00,0.00,0.00,0.00,Dairy products
Eggs Scrambled or fried,2,128.00,220.00,171.88,13.00,10.16,16.00,14.00,12.50,0.00,1.00,0.78,Dairy products
Yolks,2,34.00,120.00,352.94,6.00,17.65,10.00,8.00,29.41,0.00,0.00,0.00,"Fats, Oils, Shortenings"
Butter,1T.,14.00,100.00,714.29,0.00,0.00,11.00,10.00,78.57,0.00,0.00,0.00,"Fats, Oils, Shortenings"
Butter,1/2 cup,112.00,113.00,100.89,114.00,101.79,115.00,116.00,102.68,117.00,118.00,105.36,"Fats, Oils, Shortenings"
Butter,1/4 lb.,112.00,113.00,100.89,114.00,101.79,115.00,116.00,102.68,117.00,118.00,105.36,"Fats, Oils, Shortenings"
Hydrogenated cooking fat,1/2 cup,100.00,665.00,665.00,0.00,0.00,100.00,88.00,100.00,0.00,0.00,0.00,"Fats, Oils, Shortenings"
Lard,1/2 cup,110.00,992.00,901.82,0.00,0.00,110.00,92.00,100.00,0.00,0.00,0.00,"Fats, Oils, Shortenings"
Margarine,1/2 cup,112.00,806.00,719.64,0.00,0.00,91.00,76.00,81.25,0.00,0.00,0.00,"Fats, Oils, Shortenings"
"Margarine, 2 pat or",1 T.,14.00,100.00,714.29,0.00,0.00,11.00,9.00,78.57,0.00,0.00,0.00,"Fats, Oils, Shortenings"
Mayonnaise,1 T.,15.00,110.00,733.33,0.00,0.00,12.00,5.00,80.00,0.00,0.00,0.00,"Fats, Oils, Shortenings"
Corn oil,1 T.,14.00,125.00,892.86,0.00,0.00,14.00,5.00,100.00,0.00,0.00,0.00,"Fats, Oils, Shortenings"
Olive oil,1T.,14.00,125.00,892.86,0.00,0.00,14.00,3.00,100.00,0.00,0.00,0.00,"Fats, Oils, Shortenings"
Safflower seed oil,1 T.,14.00,125.00,892.86,0.00,0.00,14.00,3.00,100.00,0.00,0.00,0.00,"Fats, Oils, Shortenings"
French dressing,1 T.,15.00,60.00,400.00,0.00,0.00,6.00,2.00,40.00,0.00,2.00,13.33,"Fats, Oils, Shortenings"
Thousand Island sauce,1 T.,15.00,75.00,500.00,0.00,0.00,8.00,3.00,53.33,0.00,1.00,6.67,"Fats, Oils, Shortenings"
Salt pork,2 oz.,60.00,470.00,783.33,3.00,5.00,55.00,,91.67,0.00,0.00,0.00,"Meat, Poultry"
Bacon,2 slices,16.00,95.00,593.75,4.00,25.00,8.00,7.00,50.00,0.00,1.00,6.25,"Meat, Poultry"
Beef,3 oz.,85.00,245.00,288.24,23.00,27.06,16.00,15.00,18.82,0.00,0.00,0.00,"Meat, Poultry"
Hamburger,3 oz.,85.00,245.00,288.24,21.00,24.71,17.00,15.00,20.00,0.00,0.00,0.00,"Meat, Poultry"
Ground lean,3 oz.,85.00,185.00,217.65,24.00,28.24,10.00,9.00,11.76,0.00,0.00,0.00,"Meat, Poultry"
Roast beef,3 oz.,85.00,390.00,458.82,16.00,18.82,36.00,35.00,42.35,0.00,0.00,0.00,"Meat, Poultry"
Steak,3 oz.,85.00,330.00,388.24,20.00,23.53,27.00,25.00,31.76,0.00,0.00,0.00,"Meat, Poultry"
"Steak, lean, as round",3 oz.,85.00,220.00,258.82,24.00,28.24,12.00,11.00,14.12,0.00,0.00,0.00,"Meat, Poultry"
Corned beef,3 oz.,85.00,185.00,217.65,22.00,25.88,10.00,9.00,11.76,0.00,0.00,0.00,"Meat, Poultry"
Corned beef hash canned,3 oz.,85.00,120.00,141.18,12.00,14.12,8.00,7.00,9.41,0.00,6.00,7.06,"Meat, Poultry"
Corned beef hash Dried,2 oz.,56.00,115.00,205.36,19.00,33.93,4.00,4.00,7.14,0.00,0.00,0.00,"Meat, Poultry"
Pot-pie,1 pie,227.00,480.00,211.45,18.00,7.93,28.00,25.00,12.33,0.00,32.00,14.10,"Meat, Poultry"
Corned beef hash Stew,1 cup,235.00,185.00,78.72,15.00,6.38,10.00,9.00,4.26,0.00,15.00,6.38,"Meat, Poultry"
chicken,3 oz.,85.00,185.00,217.65,23.00,27.06,9.00,7.00,10.59,0.00,0.00,0.00,"Meat, Poultry"
"Fried, breast or leg and thigh chicken",3 oz.,85.00,245.00,288.24,25.00,29.41,15.00,11.00,17.65,0.00,0.00,0.00,"Meat, Poultry"
Roasted chicken,3 1/2 oz.,100.00,290.00,290.00,25.00,25.00,20.00,16.00,20.00,0.00,0.00,0.00,"Meat, Poultry"
"Chicken livers, fried",3 med.,100.00,140.00,140.00,22.00,22.00,14.00,12.00,14.00,0.00,2.30,2.30,"Meat, Poultry"
"Duck, domestic",3 1/2 oz.,100.00,370.00,370.00,16.00,16.00,28.00,0.00,28.00,0.00,0.00,0.00,"Meat, Poultry"
"Lamb, chop, broiled",4 oz.,115.00,480.00,417.39,24.00,20.87,35.00,33.00,30.43,0.00,0.00,0.00,"Meat, Poultry"
Leg roasted,3 oz.,86.00,314.00,365.12,20.00,23.26,14.00,14.00,16.28,0.00,0.00,0.00,"Meat, Poultry"
"Shoulder, braised",3 oz.,85.00,285.00,335.29,18.00,21.18,23.00,21.00,27.06,0.00,0.00,0.00,"Meat, Poultry"
"Pork, chop, 1 thick",3 1/2 oz.,100.00,260.00,260.00,16.00,16.00,21.00,18.00,21.00,0.00,0.00,0.00,"Meat, Poultry"
Ham pan-broiled,3 oz.,85.00,290.00,341.18,16.00,18.82,22.00,19.00,25.88,0.00,0.00,0.00,"Meat, Poultry"
"Ham, as ",2 oz.,57.00,170.00,298.25,13.00,22.81,13.00,11.00,22.81,0.00,0.00,0.00,"Meat, Poultry"
"Ham, canned, spiced",2 oz.,57.00,165.00,289.47,8.00,14.04,14.00,12.00,24.56,0.00,1.00,1.75,"Meat, Poultry"
Pork roast,3 oz.,85.00,310.00,364.71,21.00,24.71,24.00,21.00,28.24,0.00,0.00,0.00,"Meat, Poultry"
Pork sausage,3 1/2 oz.,100.00,475.00,475.00,18.00,18.00,44.00,40.00,44.00,0.00,0.00,0.00,"Meat, Poultry"
Turkey,3 1/2 oz.,100.00,265.00,265.00,27.00,27.00,15.00,0.00,15.00,0.00,0.00,0.00,"Meat, Poultry"
Veal,3 oz.,85.00,185.00,217.65,23.00,27.06,9.00,8.00,10.59,0.00,0.00,0.00,"Meat, Poultry"
Roast,3 oz.,85.00,305.00,358.82,13.00,15.29,14.00,13.00,16.47,0.00,0.00,0.00,"Meat, Poultry"
Clams,3 oz.,85.00,87.00,102.35,12.00,14.12,1.00,0.00,1.18,0.00,2.00,2.35,"Fish, Seafood"
Cod,3 1/2 oz.,100.00,170.00,170.00,28.00,28.00,5.00,0.00,5.00,0.00,0.00,0.00,"Fish, Seafood"
Crab meat,3 oz.,85.00,90.00,105.88,14.00,16.47,2.00,0.00,2.35,0.00,1.00,1.18,"Fish, Seafood"
Fish sticks fried,5,112.00,200.00,178.57,19.00,16.96,10.00,5.00,8.93,0.00,8.00,7.14,"Fish, Seafood"
Flounder,3 1/2 oz.,100.00,200.00,200.00,30.00,30.00,8.00,0.00,8.00,0.00,0.00,0.00,"Fish, Seafood"
Haddock,3 oz.,85.00,135.00,158.82,16.00,18.82,5.00,4.00,5.88,0.00,6.00,7.06,"Fish, Seafood"
Halibut,3 1/2 oz.,100.00,182.00,182.00,26.00,26.00,8.00,0.00,8.00,0.00,0.00,0.00,"Fish, Seafood"
Herring,1 small,100.00,211.00,211.00,22.00,22.00,13.00,0.00,13.00,0.00,0.00,0.00,"Fish, Seafood"
Lobster,aver.,100.00,92.00,92.00,18.00,18.00,1.00,0.00,1.00,0.00,0.00,0.00,"Fish, Seafood"
Mackerel,3 oz.,85.00,155.00,182.35,18.00,21.18,9.00,0.00,10.59,0.00,0.00,0.00,"Fish, Seafood"
Oysters,6-8 med.,230.00,231.00,100.43,232.00,100.87,233.00,234.00,101.30,235.00,236.00,102.61,"Fish, Seafood"
Oyster stew,1 cup,85.00,125.00,147.06,19.00,22.35,6.00,1.00,7.06,0.00,0.00,0.00,"Fish, Seafood"
Salmon,3 oz.,85.00,120.00,141.18,17.00,20.00,5.00,1.00,5.88,0.00,0.00,0.00,"Fish, Seafood"
Sardines,3 oz.,85.00,180.00,211.76,22.00,25.88,9.00,4.00,10.59,0.00,0.00,0.00,"Fish, Seafood"
Scallops,3 1/2 oz.,100.00,104.00,104.00,18.00,18.00,8.00,0.00,8.00,0.00,10.00,10.00,"Fish, Seafood"
Shad,3 oz.,85.00,170.00,200.00,20.00,23.53,10.00,0.00,11.76,0.00,0.00,0.00,"Fish, Seafood"
Shrimp,3 oz.,85.00,110.00,129.41,23.00,27.06,1.00,0.00,1.18,0.00,0.00,0.00,"Fish, Seafood"
